Nested Sampling Global Log-Evidence           :   -0.481919960690478035E+02  +/-    0.109117896505560891E+00
Nested Importance Sampling Global Log-Evidence:   -0.507615519762016945E+02  +/-    0.999950995803988385E+00

Dim No.       Mean        Sigma
   1    0.188209022418825384E+03    0.236009483163498540E+00
   2    0.100372541819767358E+01    0.915433527596384633E-05
   3    0.949789406059221020E+00    0.249856606519676403E-02
   4    0.355467837600173553E+02    0.102248241200573256E-01
   5   -0.100505369611917690E+02    0.454435064153055346E-02
   6   -0.894417139225181401E+01    0.124430510248031462E-02
   7   -0.493503309967679726E+01    0.320910736973102455E-02
   8   -0.798543132871198136E+01    0.341124200844421807E-02
   9   -0.752071183078413963E+01    0.217168505450837570E-02
  10   -0.885216814206341596E+01    0.493087881783210204E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.188208749114053148E+03
   2    0.100372542583890212E+01
   3    0.949792302609469452E+00
   4    0.355467827211149512E+02
   5   -0.100505392615361728E+02
   6   -0.894417322628686406E+01
   7   -0.493503380140468462E+01
   8   -0.798542668732905092E+01
   9   -0.752071101512171225E+01
  10   -0.885217515231808960E+01

MAP Parameters
Dim No.        Parameter
   1    0.188208749114053148E+03
   2    0.100372542583890212E+01
   3    0.949792302609469452E+00
   4    0.355467827211149512E+02
   5   -0.100505392615361728E+02
   6   -0.894417322628686406E+01
   7   -0.493503380140468462E+01
   8   -0.798542668732905092E+01
   9   -0.752071101512171225E+01
  10   -0.885217515231808960E+01
